	accession	bias	bitscore	description	cluster_num	domain_exp_num	domain_included_num	domain_obs_num	domain_reported_num	env_num	evalue	id	query_id	overlap_num	region_num
0	-	0.3	286.6	14-3-3 protein-like protein [Leishmania panamensis]	0	1.0	1	1	1	1	5e-86	AIO02465.1	14-3-3	0	1
1	-	1.1	283.2	14-3-3 protein, putative [Leishmania panamensis]	0	1.0	1	1	1	1	5.4e-85	AIN96231.1	14-3-3	0	1
2	-	0.2	12.3	hypothetical protein LPMP_180840 [Leishmania panamensis]	0	2.8	0	3	3	3	0.039	AIN97265.1	14-3-3	0	3
3	-	0.1	121.6	D-3-phosphoglycerate dehydrogenase-like protein [Leishmania panamensis]	0	1.2	1	1	1	1	7.2e-36	AIN95237.1	2-Hacid_dh	0	1
4	-	0.1	181.5	D-3-phosphoglycerate dehydrogenase-like protein [Leishmania panamensis]	0	1.3	1	1	1	1	3.9e-54	AIN95237.1	2-Hacid_dh_C	0	1
5	-	0.0	154.2	d-isomer specific 2-hydroxyacid dehydrogenase, putative [Leishmania panamensis]	0	1.1	1	1	1	1	9.5e-46	AIN97643.1	2-Hacid_dh_C	0	1
6	-	0.0	37.0	S-adenosylhomocysteine hydrolase [Leishmania panamensis]	0	1.4	1	1	1	1	8.7e-10	AIO02536.1	2-Hacid_dh_C	0	1
7	-	0.1	26.1	NADP-dependent alcohol dehydrogenase, putative [Leishmania panamensis]	0	1.2	1	1	1	1	2e-06	AIN98492.1	2-Hacid_dh_C	0	1
8	-	0.0	19.9	2-hydroxy-3-oxopropionate reductase, putative [Leishmania panamensis]	0	1.7	1	1	1	1	0.00015	AIO00254.1	2-Hacid_dh_C	0	1
9	-	0.0	16.6	E1-like ubiquitin-activating enzyme, putative [Leishmania panamensis]	0	1.5	1	1	1	1	0.0016	AIN96820.1	2-Hacid_dh_C	0	1
10	-	0.0	15.8	6-phosphogluconate dehydrogenase, decarboxylating, putative [Leishmania panamensis]	1	1.5	1	1	1	1	0.0028	AIO01944.1	2-Hacid_dh_C	0	1
11	-	0.1	13.8	dihydrolipoamide dehydrogenase, putative [Leishmania panamensis]	0	1.8	0	2	2	2	0.012	AIO00132.1	2-Hacid_dh_C	0	2
12	-	0.0	12.0	2,4-dienoyl-coa reductase fadh1, putative [Leishmania panamensis]	0	2.3	0	2	2	2	0.041	AIO01380.1	2-Hacid_dh_C	0	2
13	-	0.0	11.8	pyrroline-5-carboxylate reductase [Leishmania panamensis]	0	1.3	0	1	1	1	0.047	AIN96582.1	2-Hacid_dh_C	0	1
14	-	0.0	11.8	ubiquitin activating E1 enzyme, putative [Leishmania panamensis]	0	2.2	0	2	2	2	0.048	AIN95689.1	2-Hacid_dh_C	0	2
15	-	0.0	11.5	short-chain dehydrogenase, putative [Leishmania panamensis]	0	1.4	0	1	1	1	0.059	AIO02379.1	2-Hacid_dh_C	0	1
16	-	0.0	11.2	ubiquitin-activating enzyme e1, putative [Leishmania panamensis]	0	1.6	0	1	1	1	0.072	AIO01917.1	2-Hacid_dh_C	0	1
17	-	0.1	211.2	alpha-ketoglutarate-dependent dioxygenase, putative [Leishmania panamensis]	0	1.2	1	1	1	1	6.6e-63	AIN96910.1	2OG-FeII_Oxy_2	0	1
18	-	0.0	45.6	alpha-ketoglutarate-dependent dioxygenase, putative [Leishmania panamensis]	0	1.3	1	1	1	1	3.8e-12	AIN99154.1	2OG-FeII_Oxy_2	0	1
19	-	0.0	36.6	alpha-ketoglutarate-dependent dioxygenase AlkB-like, putative [Leishmania panamensis]	1	2.1	1	1	1	1	2.2e-09	AIO02342.1	2OG-FeII_Oxy_2	0	1
20	-	0.0	34.4	alpha-ketoglutarate-dependent dioxygenase, putative [Leishmania panamensis]	0	1.3	1	1	1	1	1e-08	AIO01741.1	2OG-FeII_Oxy_2	0	1
21	-	0.0	33.4	alpha-ketoglutarate-dependent dioxygenase, putative [Leishmania panamensis]	1	2.1	1	2	2	2	2e-08	AIN95663.1	2OG-FeII_Oxy_2	1	1
